Chunk,Frame,PSNR (dB),SSIM
46,552,35.5452,0.9691
46,553,36.9852,0.975755
46,554,36.1795,0.972276
46,555,36.7335,0.974519
46,556,36.06,0.97154
46,557,36.2515,0.972333
46,558,36.1407,0.971462
46,559,36.1827,0.971936
46,560,35.9297,0.970414
46,561,35.8512,0.970165
46,562,35.8249,0.969592
46,563,35.8211,0.969853
46,564,35.622,0.968386
46,565,35.5915,0.968353
46,566,35.5141,0.967596
46,567,35.5631,0.968097
46,568,36.7414,0.973142
46,569,35.9812,0.970767
46,570,36.5167,0.972126
46,571,36.0115,0.970736
46,572,36.2407,0.970736
46,573,35.9233,0.969806
46,574,36.2299,0.970346
46,575,35.9853,0.970234
46,576,36.1228,0.970206
46,577,35.7735,0.968603
46,578,35.5626,0.967128
46,579,35.6265,0.967787
46,580,35.5234,0.966628
46,581,35.4678,0.966205
46,582,35.5208,0.965929
46,583,35.6943,0.96736
46,584,35.5426,0.9662
46,585,35.4587,0.965613
46,586,35.2266,0.963874
46,587,35.3129,0.964741
46,588,35.298,0.964275
46,589,35.5232,0.965489
46,590,35.1947,0.963234
46,591,34.9376,0.962253
46,592,34.6767,0.960745
46,593,34.5607,0.959431
46,594,34.1658,0.956958
46,595,34.5572,0.959308
46,596,34.5456,0.959281
46,597,34.5137,0.958708
46,598,35.6889,0.96552
46,599,35.2106,0.96425
46,600,35.6664,0.965722
46,601,35.4046,0.964706
46,602,35.589,0.964562
46,603,35.2348,0.963762
46,604,35.6323,0.964962
46,605,35.0745,0.962255
46,606,35.3296,0.96291
46,607,35.186,0.962703
46,608,35.4731,0.963842
46,609,35.3371,0.963168
46,610,35.2687,0.962133
46,611,35.1299,0.961878
46,612,34.9576,0.960467
46,613,36.2199,0.967345
46,614,35.5551,0.963971
46,615,35.9993,0.966368
46,616,35.4202,0.963188
46,617,35.5856,0.963849
46,618,35.2084,0.961663
46,619,35.4719,0.963405
46,620,35.0875,0.9608
46,621,35.1616,0.961089
46,622,35.0207,0.959714
46,623,35.0642,0.960548
46,624,34.9017,0.959206
46,625,34.8778,0.959139
46,626,34.8332,0.958112
46,627,34.7407,0.958122
46,628,35.9984,0.965233
46,629,35.4181,0.962576
46,630,35.7277,0.963421
46,631,35.2352,0.961767
46,632,35.4448,0.962188
46,633,35.1488,0.960858
46,634,35.3184,0.960856
46,635,34.9572,0.959926
46,636,35.1981,0.960672
46,637,34.8925,0.959099
46,638,35.0542,0.958984
46,639,34.7107,0.957744
46,640,34.8972,0.95813
46,641,34.6927,0.957055
46,642,34.7815,0.956454
46,643,34.7447,0.956736
46,644,34.5431,0.955154
46,645,34.6617,0.955617
46,646,34.5542,0.953991
46,647,34.6291,0.955072
46,648,34.4944,0.953801
46,649,34.5663,0.954253
46,650,34.3926,0.952127
46,651,34.5053,0.953616
46,652,34.3177,0.952035
46,653,34.4741,0.952696
46,654,34.5379,0.951984
46,655,34.2035,0.950904
46,656,34.4108,0.951678
46,657,34.257,0.9505
46,658,34.3755,0.95011
46,659,34.3403,0.950741
46,660,34.2446,0.949493
46,661,34.3038,0.949608
46,662,34.2893,0.948363
46,663,34.3544,0.949608
46,664,34.338,0.948777
46,665,34.415,0.949224
46,666,34.7857,0.954267
46,667,34.7286,0.954461
46,668,34.6686,0.953535
46,669,34.5885,0.952622
46,670,34.6521,0.951865
46,671,34.6319,0.952745
46,672,34.5991,0.951533
46,673,34.4658,0.950255
46,674,34.5469,0.949653
46,675,34.6008,0.951157
46,676,34.5385,0.949904
46,677,34.4596,0.948926
46,678,34.4411,0.947707
46,679,34.4746,0.948972
46,680,34.3789,0.947319
46,681,35.7656,0.957983
46,682,35.1114,0.952904
46,683,35.4877,0.956022
46,684,35.2,0.953922
46,685,35.2294,0.953505
46,686,34.9366,0.950573
46,687,34.6021,0.94875
46,688,34.2851,0.945356
46,689,34.4258,0.94562
46,690,34.1971,0.943301
46,691,34.4664,0.945739
46,692,34.4919,0.945618
46,693,34.4927,0.94594
46,694,34.7464,0.947064
46,695,34.3373,0.946094
46,696,34.9471,0.948921
46,697,34.4534,0.945306
46,698,34.9415,0.947585
46,699,34.8228,0.947474
46,700,35.0674,0.948954
46,701,34.7947,0.947347
46,702,34.9981,0.94752
46,703,34.6674,0.947039
46,704,35.0282,0.948322
46,705,34.812,0.946879
46,706,34.9517,0.946224
46,707,34.6081,0.945531
46,708,35.021,0.947206
46,709,34.5316,0.943738
46,710,34.9278,0.945141
46,711,34.9914,0.946513
46,712,34.6456,0.94427
