Frame,PSNR,SSIM
1083,32.3264,0.884059
1084,32.2108,0.882195
1085,33.4143,0.901724
1086,33.071,0.898031
1087,32.8451,0.894604
1088,32.6685,0.891453
1089,32.5421,0.889021
1090,32.7368,0.892372
1091,32.7863,0.893473
1092,32.6315,0.890875
1093,32.6251,0.890738
1094,32.6402,0.890837
1095,32.7055,0.891687
1096,32.4684,0.887707
1097,32.2922,0.884118
1098,32.4793,0.887672
1099,32.5941,0.889518
1100,32.5209,0.888021
1101,32.4582,0.887458
1102,32.5812,0.889783
1103,32.5046,0.888217
1104,32.4155,0.886812
1105,32.3424,0.884835
1106,32.5357,0.88879
1107,32.4568,0.888095
1108,32.3566,0.885924
1109,32.4259,0.887518
1110,32.4373,0.887084
1111,32.3263,0.885347
1112,32.2713,0.883706
1113,32.4301,0.886839
1114,32.3831,0.886588
1115,33.6716,0.906425
1116,33.3715,0.903074
1117,33.1578,0.900675
1118,32.9496,0.896944
1119,32.751,0.893012
1120,32.9406,0.896166
1121,33.0273,0.897889
1122,32.8999,0.896106
1123,32.9116,0.896269
1124,32.9242,0.896356
1125,32.9611,0.896888
1126,32.7666,0.893652
1127,32.5512,0.889667
1128,32.7227,0.892937
1129,32.7957,0.893901
1130,32.712,0.892297
1131,32.689,0.892586
1132,32.6098,0.890362
1133,32.3932,0.886093
1134,32.5445,0.889286
1135,32.6299,0.890532
1136,32.5044,0.88851
1137,32.5838,0.890219
1138,32.5501,0.889172
1139,32.3618,0.885687
1140,32.4596,0.887567
1141,33.6474,0.905152
1142,33.268,0.901127
1143,33.2653,0.902114
1144,33.0612,0.899691
1145,32.9921,0.897978
1146,33.0763,0.899765
1147,33.0338,0.899283
1148,33.0557,0.899653
1149,32.983,0.897951
1150,33.0172,0.898967
1151,32.969,0.897917
1152,32.8448,0.895626
1153,26.0236,0.671418
1154,30.9959,0.852798
1155,30.8939,0.85158
